# KR dynamic universe — built 2026-07-22
# Filters: mcap ≥ ₩500억, daily vol ≥ ₩5억
# Count: 1830 종목
ticker,name_ko,market,market_cap_krw,avg_dollar_vol_60d,market_cap_tier
005930,삼성전자,KOSPI,1522955577384000,0,large
000660,SK하이닉스,KOSPI,1304245327950000,0,large
402340,SK스퀘어,KOSPI,162308814780000,0,large
009150,삼성전기,KOSPI,100463021120000,0,large
005380,현대차,KOSPI,85588746188000,0,large
373220,LG에너지솔루션,KOSPI,75114000000000,0,large
032830,삼성생명,KOSPI,64000000000000,0,large
207940,삼성바이오로직스,KOSPI,63511184772000,0,large
105560,KB금융,KOSPI,62105822223400,0,large
028260,삼성물산,KOSPI,57407323674000,0,large
000270,기아,KOSPI,57312628106400,0,large
055550,신한지주,KOSPI,49601380724500,0,large
329180,HD현대중공업,KOSPI,48754489012500,0,large
012330,현대모비스,KOSPI,46545815079000,0,large
012450,한화에어로스페이스,KOSPI,45942990291000,0,large
034730,SK,KOSPI,45241686672000,0,large
034020,두산에너빌리티,KOSPI,44326831303200,0,large
068270,셀트리온,KOSPI,39557385390600,0,large
086790,하나금융지주,KOSPI,36106795636800,0,large
006400,삼성SDI,KOSPI,33765337070000,0,large
035420,NAVER,KOSPI,30902321249800,0,large
066570,LG전자,KOSPI,29759023362600,0,large
267260,HD현대일렉트릭,KOSPI,28657472325000,0,large
010120,LS ELECTRIC,KOSPI,28590000000000,0,large
000810,삼성화재,KOSPI,28127907990000,0,large
042660,한화오션,KOSPI,25708083756600,0,large
009540,HD한국조선해양,KOSPI,25018296506000,0,large
298040,효성중공업,KOSPI,24980464092000,0,large
005490,POSCO홀딩스,KOSPI,24010182681000,0,large
316140,우리금융지주,KOSPI,22315948753300,0,large
015760,한국전력,KOSPI,21762582210300,0,large
006800,미래에셋증권,KOSPI,21039714688000,0,large
010130,고려아연,KOSPI,20747731186000,0,large
042700,한미반도체,KOSPI,20492123000000,0,large
017670,SK텔레콤,KOSPI,20211743987300,0,large
096770,SK이노베이션,KOSPI,20015850099200,0,large
000150,두산,KOSPI,19675509525000,0,large
