# US dynamic universe — built 2026-06-01
# Source: FinanceDataReader (NASDAQ + NYSE + AMEX)
# Count: 5568 종목
ticker,name,market,sector,industry,market_cap_tier
NVDA,NVIDIA Corp,NASDAQ,,반도체,unknown
AAPL,Apple Inc,NASDAQ,,전화 및 소형 장치,unknown
MSFT,Microsoft Corp,NASDAQ,,소프트웨어,unknown
AMZN,Amazon.com Inc,NASDAQ,,백화점,unknown
AVGO,Broadcom Inc,NASDAQ,,반도체,unknown
GOOG,Alphabet Inc Class C,NASDAQ,,온라인 서비스,unknown
TSLA,Tesla Inc,NASDAQ,,자동차 및 트럭 제조,unknown
META,Meta Platforms Inc,NASDAQ,,온라인 서비스,unknown
MU,Micron Technology Inc,NASDAQ,,반도체,unknown
WMT,Walmart Inc,NASDAQ,,식품 소매 및 유통,unknown
AMD,Advanced Micro Devices Inc,NASDAQ,,반도체,unknown
ASML,ASML Holding NV ADR,NASDAQ,,반도체 장비 및 테스트,unknown
INTC,Intel Corp,NASDAQ,,반도체,unknown
CSCO,Cisco Systems Inc,NASDAQ,,통신 및 네트워킹,unknown
COST,Costco Wholesale Corp,NASDAQ,,할인점,unknown
LRCX,Lam Research Corp,NASDAQ,,반도체 장비 및 테스트,unknown
ARM,Arm Holdings PLC ADR,NASDAQ,,반도체,unknown
PLTR,Palantir Technologies Inc,NASDAQ,,소프트웨어,unknown
NFLX,Netflix Inc,NASDAQ,,온라인 서비스,unknown
AMAT,Applied Materials Inc,NASDAQ,,반도체 장비 및 테스트,unknown
TXN,Texas Instruments Inc,NASDAQ,,반도체,unknown
QCOM,Qualcomm Inc,NASDAQ,,반도체,unknown
KLAC,KLA Corp,NASDAQ,,반도체 장비 및 테스트,unknown
SNDK,Sandisk Corp,NASDAQ,,컴퓨터 하드웨어,unknown
LIN,Linde PLC,NASDAQ,,상품 화학,unknown
PANW,Palo Alto Networks Inc,NASDAQ,,소프트웨어,unknown
APP,Applovin Corp,NASDAQ,,소프트웨어,unknown
TMUS,T-Mobile US Inc,NASDAQ,,무선 통신 서비스,unknown
ADI,Analog Devices Inc,NASDAQ,,반도체,unknown
